API-Filter;base-prompt;conversational
Nachrichten nach Themengebiet;Erstelle einen API-Call, um die neuesten Nachrichten aus dem Bereich Politik abzurufen.;Ich möchte aktuelle politische Meldungen abrufen. Wie müsste ein API-Call aussehen, um genau das zu tun?
Nachrichten nach Themengebiet;Gib mir einen API-Call, der Wirtschaftsmeldungen der letzten 24 Stunden liefert.;Wenn ich Wirtschaftsnachrichten der letzten 24 Stunden brauche, sollte der Call wohl ein Zeitfenster und das Ressort enthalten. Wie sähe das konkret aus?
Nachrichten nach Themengebiet;Generiere einen Call, der alle Pressemitteilungen zum Thema Umwelt enthält.;Ich interessiere mich für Umweltmeldungen. Kannst du mir zeigen, wie ein API-Call dafür aussehen würde?
Nachrichten nach Themengebiet;Hole mir die Top-5 Stories aus dem Ressort Gesundheit.;Um die Top-5 Gesundheitsmeldungen zu bekommen, müsste ich wohl nach dem Ressort filtern und die Anzahl begrenzen. Wie wäre der passende Call?
Nachrichten nach Region oder Ort;Erzeuge einen API-Call für alle Pressemitteilungen aus Berlin.;Ich brauche alle Meldungen aus Berlin. Wie formuliere ich den API-Call dafür?
Nachrichten nach Region oder Ort;Zeige mir einen Call, der Nachrichten aus Bayern im letzten Monat abruft.;Wenn ich Nachrichten aus Bayern vom letzten Monat will, muss ich wohl Ort und Zeitraum kombinieren. Wie sähe der Call aus?
Nachrichten nach Region oder Ort;Wie lautet der API-Call für Stories aus Frankfurt zum Thema Verkehr?;Ich suche Verkehrsmeldungen aus Frankfurt. Kannst du mir den passenden API-Call dafür zeigen?
Nachrichten nach Region oder Ort;Hole mir regionale Meldungen aus Nordrhein-Westfalen zum Thema Bildung.;Ich möchte Bildungsthemen aus NRW abrufen. Wie müsste der API-Call dafür aussehen?
Nachrichten nach Herausgeber oder Quelle;Erstelle einen API-Call, der alle Mitteilungen der Polizei Hamburg abruft.;Ich will wissen, was die Polizei Hamburg veröffentlicht hat. Wie sieht der API-Call dafür aus?
Nachrichten nach Herausgeber oder Quelle;Gib mir einen Call, um Pressemitteilungen der Lufthansa zu erhalten.;Wenn ich Lufthansa-Meldungen abrufen will, brauche ich wohl den Herausgeber als Filter. Wie sähe der Call aus?
Nachrichten nach Herausgeber oder Quelle;Wie lautet der API-Call für alle Veröffentlichungen von Greenpeace?;Ich interessiere mich für alles, was Greenpeace veröffentlicht hat. Wie formuliere ich den API-Call?
Nachrichten nach Herausgeber oder Quelle;Hole mir die letzten 10 Meldungen der Bundesagentur für Arbeit.;Ich möchte die letzten 10 Mitteilungen der Bundesagentur für Arbeit sehen. Wie sähe der API-Call aus?
Nachrichten nach Zeitraum;Generiere einen API-Call für alle Meldungen vom 1. Oktober 2025.;Ich brauche alle Meldungen vom 1. Oktober 2025. Wie müsste der API-Call aussehen?
Nachrichten nach Zeitraum;Erstelle einen Call, der Pressemitteilungen der letzten Woche abruft.;Wenn ich die letzten Wochenmeldungen will, muss ich ein Zeitfenster setzen. Wie sähe der Call aus?
Nachrichten nach Zeitraum;Wie lautet der Call für alle Nachrichten zwischen dem 1. und 15. September?;Ich suche Meldungen vom 1. bis 15. September. Wie formuliere ich den API-Call dafür?
Nachrichten nach Zeitraum;Hole mir alle Stories der letzten 48 Stunden zum Thema Energie.;Ich möchte Energie-Meldungen der letzten 48 Stunden abrufen. Wie sähe der Call aus?
Nachrichten nach Schlagwort oder Suchbegriff;Erstelle einen API-Call für alle Meldungen mit dem Schlagwort ‚Cybersecurity‘.;Ich interessiere mich für Cybersecurity. Wie müsste ein API-Call aussehen, der solche Meldungen filtert?
Nachrichten nach Schlagwort oder Suchbegriff;Gib mir einen Call, der Stories mit dem Begriff ‚Künstliche Intelligenz‘ enthält.;Wenn ich nach ‚Künstliche Intelligenz‘ suche, brauche ich wohl einen Keyword-Filter. Wie sähe der Call aus?
Nachrichten nach Schlagwort oder Suchbegriff;Wie lautet der Call für Pressemitteilungen, die ‚Streik‘ erwähnen?;Ich suche nach Meldungen, die das Wort ‚Streik‘ enthalten. Wie formuliere ich den API-Call?
Nachrichten nach Schlagwort oder Suchbegriff;Hole mir alle Nachrichten, die das Wort ‚Klimawandel‘ enthalten.;Ich möchte alle Meldungen zum Klimawandel sehen. Wie sähe der API-Call aus?
Kombinierte Filter;Erstelle einen API-Call für Umweltmeldungen aus Hamburg im Oktober 2025.;Ich brauche Umweltmeldungen aus Hamburg im Oktober 2025. Wie müsste der API-Call aussehen?
Kombinierte Filter;Gib mir einen Call für Bildungsthemen aus NRW der letzten 7 Tage.;Wenn ich Bildungsthemen aus NRW der letzten Woche abrufen will, wie sähe der API-Call aus?
Kombinierte Filter;Wie lautet der Call für Polizeimeldungen aus Berlin mit dem Schlagwort ‚Einbruch‘?;Ich suche Polizeimeldungen aus Berlin, die ‚Einbruch‘ erwähnen. Wie formuliere ich den API-Call?
Kombinierte Filter;Hole mir alle Wirtschaftsnachrichten aus München zwischen dem 1. und 10. November.;Ich möchte Wirtschaftsmeldungen aus München vom 1. bis 10. November abrufen. Wie sähe der Call aus?
